NO_OF_FRAMES	5500
NO_OF_CAMERAS	11
NO_OF_BODIES	2
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-26, 18:32:39.510	442281.92392820
DATA_INCLUDED	6D
BODY_NAMES	karlax_bottompart	karlax_upperpart
BODY_FILTERS	No filter	No filter
karlax_bottompart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]		karlax_upperpart X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
194.35657	75.83077	950.44463	76.95124	77.74503	-178.65669	0.62072	-0.21220	-0.95701	0.19774	0.00498	-0.20340	-0.97908	0.97721	-0.20678	0.04792		205.46436	142.89740	1187.49398	-144.00224	85.93635	35.14508	0.47063	0.05795	-0.94512	0.32155	-0.04079	-0.32406	-0.94516	0.99749	0.04165	-0.05733	
193.99176	77.40111	950.64939	77.32539	77.65212	-179.02289	0.62133	-0.21382	-0.95667	0.19767	0.00365	-0.20313	-0.97915	0.97687	-0.20864	0.04692		205.45337	144.36807	1187.67639	-144.98831	85.94466	36.14863	0.48915	0.05711	-0.94527	0.32127	-0.04172	-0.32377	-0.94522	0.99750	0.04058	-0.05792	
193.57812	78.85402	950.88154	77.68166	77.67520	-179.34592	0.65588	-0.21344	-0.95683	0.19726	0.00244	-0.20243	-0.97929	0.97695	-0.20854	0.04554		205.42091	145.76446	1187.94153	-146.64621	85.94296	37.80256	0.50157	0.05590	-0.94531	0.32133	-0.04337	-0.32383	-0.94512	0.99749	0.03890	-0.05910	
193.21238	80.28512	951.06143	78.14854	77.57351	-179.84172	0.62356	-0.21519	-0.95632	0.19786	0.00059	-0.20273	-0.97923	0.97657	-0.21060	0.04419		205.43455	147.09137	1188.18346	-148.34782	85.93070	39.51257	0.50349	0.05475	-0.94543	0.32119	-0.04515	-0.32369	-0.94509	0.99748	0.03724	-0.06041	
192.76064	81.50116	951.40015	78.55010	77.60934	179.78091	0.63459	-0.21457	-0.95650	0.19763	-0.00082	-0.20217	-0.97935	0.97671	-0.21031	0.04260		205.38126	148.40487	1188.40394	-149.11583	85.83942	40.31341	0.46140	0.05532	-0.94560	0.32058	-0.04694	-0.32318	-0.94517	0.99736	0.03724	-0.06226	
192.35486	82.71418	951.58037	78.98008	77.48851	179.29433	0.61912	-0.21662	-0.95582	0.19869	-0.00267	-0.20294	-0.97919	0.97625	-0.21264	0.04141		205.38151	149.54610	1188.66491	-150.88625	85.82458	42.07150	0.49027	0.05405	-0.94561	0.32079	-0.04879	-0.32337	-0.94501	0.99735	0.03543	-0.06361	
191.86353	83.72054	951.87615	79.40806	77.43221	178.88454	0.64219	-0.21755	-0.95565	0.19851	-0.00424	-0.20246	-0.97928	0.97604	-0.21389	0.04000		205.39311	150.60968	1188.84682	-152.07071	85.78394	43.25458	0.49851	0.05354	-0.94564	0.32079	-0.05038	-0.32340	-0.94492	0.99729	0.03443	-0.06495	
191.42679	84.70257	952.14660	79.79420	77.40312	178.48492	0.63299	-0.21801	-0.95547	0.19888	-0.00577	-0.20252	-0.97926	0.97593	-0.21464	0.03864		205.36954	151.61190	1189.08711	-153.54688	85.73257	44.72638	0.48422	0.05287	-0.94566	0.32084	-0.05237	-0.32347	-0.94479	0.99723	0.03315	-0.06662	
190.97263	85.58154	952.34593	80.22402	77.31832	178.03491	0.65208	-0.21941	-0.95505	0.19935	-0.00753	-0.20266	-0.97922	0.97560	-0.21635	0.03728		205.37997	152.50593	1189.29184	-155.13603	85.71152	46.31785	0.48588	0.05165	-0.94573	0.32081	-0.05408	-0.32342	-0.94471	0.99720	0.03144	-0.06785	
190.53659	86.36099	952.58376	80.62543	77.26860	177.63081	0.63524	-0.22019	-0.95483	0.19953	-0.00911	-0.20253	-0.97923	0.97541	-0.21744	0.03590		205.34203	153.30441	1189.46502	-156.08835	85.64360	47.25719	0.49196	0.05155	-0.94568	0.32099	-0.05579	-0.32364	-0.94453	0.99711	0.03079	-0.06944	
